woche;marke;thema;engine;engine_typ;visibility;share_of_voice;mention_count;sentiment;position;visibility_count;visibility_total;sentiment_sum;sentiment_count;position_sum;position_count;brand_id;topic_id;model_channel_id
2026-04-13;LV 1871;;AI Overview;grounded;0.0282;0.0176;75;58;2.7;46;1631;8.224212646484375;49;106;39;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;;google-0
2026-04-13;LV 1871;;ChatGPT;ui_mixed;0.0039;0.0026;11;54;6.6;7;1800;1.2105865478515625;16;33;5;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;;openai-0
2026-04-13;LV 1871;;Gemini;grounded;0.0289;0.0146;58;59;4.1;52;1800;9.269462585449219;53;183;45;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;;google-2
2026-04-13;LV 1871;;Perplexity;grounded;0.011;0.0091;22;54;5.6;18;1635;1.02813720703125;12;67;12;kw_86ce8865-81a6-4155-aa6e-7907ead2806a;;perplexity-0
2026-04-13;LVM;;AI Mode;grounded;0.0767;0.0299;162;57;4.2;138;1800;16.071746826171875;118;467;111;kw_cdfd3b5b-0c22-485c-bbc4-00fde89a1c45;;google-1
2026-04-13;LVM;;AI Overview;grounded;0.0515;0.0261;111;56;4.3;84;1631;10.546310424804688;85;315;74;kw_cdfd3b5b-0c22-485c-bbc4-00fde89a1c45;;google-0
2026-04-13;LVM;;ChatGPT;ui_mixed;0.0244;0.0152;64;56;5.4;44;1800;6.542686462402344;55;194;36;kw_cdfd3b5b-0c22-485c-bbc4-00fde89a1c45;;openai-0
2026-04-13;LVM;;Gemini;grounded;0.0233;0.0116;46;56;4.7;42;1800;4.7418670654296875;38;161;34;kw_cdfd3b5b-0c22-485c-bbc4-00fde89a1c45;;google-2
2026-04-13;LVM;;Perplexity;grounded;0.0122;0.0115;28;56;4.9;20;1635;2.2038116455078125;20;83;17;kw_cdfd3b5b-0c22-485c-bbc4-00fde89a1c45;;perplexity-0
2026-04-13;R+V;;AI Mode;grounded;0.0594;0.0216;117;53;3.2;107;1800;6.777702331542969;125;312;98;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;;google-1
2026-04-13;R+V;;AI Overview;grounded;0.0448;0.0195;83;58;4.3;73;1631;13.763961791992188;84;306;72;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;;google-0
2026-04-13;R+V;;ChatGPT;ui_mixed;0.0783;0.0427;180;56;4.3;141;1800;23.952186584472656;185;576;134;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;;openai-0
2026-04-13;R+V;;Gemini;grounded;0.0478;0.0254;101;58;4.1;86;1800;13.426582336425781;87;338;83;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;;google-2
2026-04-13;R+V;;Perplexity;grounded;0.0183;0.0165;40;56;3.4;30;1635;4.264839172363281;37;98;29;kw_cba70138-7408-42d6-9ae4-e090d6179e7f;;perplexity-0
2026-04-13;Signal Iduna;;AI Mode;grounded;0.0944;0.0472;256;51;2.6;170;1800;3.381744384765625;281;418;160;kw_80da741d-9a64-4086-95c0-eb9701df02f8;;google-1
2026-04-13;Signal Iduna;;AI Overview;grounded;0.0797;0.0401;171;55;3.1;130;1631;16.748626708984375;158;388;126;kw_80da741d-9a64-4086-95c0-eb9701df02f8;;google-0
2026-04-13;Signal Iduna;;ChatGPT;ui_mixed;0.0533;0.0275;116;58;4.4;96;1800;17.202377319335938;107;400;90;kw_80da741d-9a64-4086-95c0-eb9701df02f8;;openai-0
2026-04-13;Signal Iduna;;Gemini;grounded;0.0594;0.0324;129;60;3.2;107;1800;22.688018798828125;118;323;101;kw_80da741d-9a64-4086-95c0-eb9701df02f8;;google-2
2026-04-13;Signal Iduna;;Perplexity;grounded;0.0318;0.0325;79;51;2.6;52;1635;1.75921630859375;108;131;50;kw_80da741d-9a64-4086-95c0-eb9701df02f8;;perplexity-0
2026-04-13;VHV;;AI Mode;grounded;0.0628;0.0273;148;55;3.1;113;1800;9.148818969726562;89;245;79;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;;google-1
2026-04-13;VHV;;AI Overview;grounded;0.0632;0.0326;139;58;3.8;103;1631;15.703285217285156;97;347;91;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;;google-0
2026-04-13;VHV;;ChatGPT;ui_mixed;0.0278;0.0168;71;57;4.9;50;1800;10.599830627441406;73;232;47;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;;openai-0
2026-04-13;VHV;;Gemini;grounded;0.0872;0.0515;205;58;3.6;157;1800;21.4832763671875;141;456;126;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;;google-2
2026-04-13;VHV;;Perplexity;grounded;0.0214;0.0235;57;58;4.3;35;1635;6.2444000244140625;39;133;31;kw_b3e38115-670e-4795-96a2-dbf2f0b47733;;perplexity-0
2026-04-13;WGV;;AI Mode;grounded;0.0728;0.0279;151;63;2.9;131;1800;25.01457977294922;99;267;91;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;;google-1
2026-04-13;WGV;;AI Overview;grounded;0.0674;0.039;166;62;3.6;110;1631;27.62181854248047;116;354;98;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;;google-0
2026-04-13;WGV;;ChatGPT;ui_mixed;0.0156;0.0107;45;61;4.4;28;1800;7.8612823486328125;36;96;22;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;;openai-0
2026-04-13;WGV;;Gemini;grounded;0.0628;0.037;147;62;3;113;1800;25.091659545898438;109;281;93;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;;google-2
2026-04-13;WGV;;Perplexity;grounded;0.022;0.0288;70;61;3.9;36;1635;9.9947509765625;44;131;34;kw_2f265088-42d6-4e5a-be60-e1fb53cf72ed;;perplexity-0
2026-04-13;Württembergische;;AI Mode;grounded;0.0539;0.0216;117;51;2.9;97;1800;2.6819610595703125;134;247;85;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;;google-1
2026-04-13;Württembergische;;AI Overview;grounded;0.0546;0.0256;109;57;3.7;89;1631;14.41864013671875;100;335;91;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;;google-0
2026-04-13;Württembergische;;ChatGPT;ui_mixed;0.0183;0.0095;40;58;4.8;33;1800;6.454986572265625;42;157;33;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;;openai-0
2026-04-13;Württembergische;;Gemini;grounded;0.0289;0.0138;55;56;3.8;52;1800;6.556373596191406;53;182;48;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;;google-2
2026-04-13;Württembergische;;Perplexity;grounded;0.0263;0.0247;60;54;3.7;43;1635;3.3260955810546875;47;144;39;kw_8cd0213a-ff09-49f8-9e14-2e088c094043;;perplexity-0
2026-04-13;Zurich;;AI Mode;grounded;0.035;0.0133;72;48;3.1;63;1800;-1.9304885864257812;58;139;45;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;;google-1
2026-04-13;Zurich;;AI Overview;grounded;0.0313;0.0129;55;52;4.7;51;1631;2.6365203857421875;53;212;45;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;;google-0
2026-04-13;Zurich;;ChatGPT;ui_mixed;0.0417;0.0211;89;55;4.5;75;1800;10.16845703125;103;282;63;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;;openai-0
2026-04-13;Zurich;;Gemini;grounded;0.0244;0.0118;47;52;3.1;44;1800;1.8214187622070312;42;103;33;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;;google-2
2026-04-13;Zurich;;Perplexity;grounded;0.0153;0.0148;36;53;3.6;25;1635;1.20550537109375;23;72;20;kw_f7e49be6-0f28-4d62-8e8e-044c5f806309;;perplexity-0
